Column1;champion;games;prescence;bans;picks;byteam;wins;losses;winrate;kills;deaths;assists;kda;cs;cspm;gold;gpm;killpart;killshare;goldshare
46;Jinx;5;0.091;2;3;2;0;3;0;1.67;2.67;1.67;1.25;309.67;9.84;12.3;391;0.769;0.385;0.256
47;Lucian;5;0.091;2;3;3;0;3;0;2.67;4.67;2.33;1.07;240.67;8.09;10.8;361;0.652;0.348;0.233
48;Sion;4;0.073;1;3;3;0;3;0;1.33;3.33;4;1.6;241.33;6.49;11.4;306;0.571;0.143;0.194
49;Karma;4;0.073;2;2;2;2;0;100;0.5;0.5;7.5;16;222.5;7.02;10.6;333;0.727;0.045;0.176
50;Rek'Sai;4;0.073;2;2;1;2;0;100;7;4;10.5;4.38;230;6.26;15;408;0.686;0.275;0.204
51;Sett;4;0.073;2;2;2;1;1;50;1;5;13;2.8;131.5;4.09;9.7;302;0.875;0.063;0.163
52;Sylas;4;0.073;2;2;2;1;1;50;1.5;3.5;8.5;2.86;208;7.34;10.2;360;0.714;0.107;0.194
53;Nocturne;4;0.073;3;1;1;0;1;0;5;4;10;3.75;284;5.7;16.4;330;0.652;0.217;0.194
54;Corki;3;0.055;-;3;2;0;3;0;1.33;4;1.33;0.67;285.33;8.58;12.4;372;0.32;0.16;0.233
55;Jax;3;0.055;1;2;1;2;0;100;4.5;1.5;6;7;236.5;7.97;12.8;432;0.512;0.22;0.211
56;Bard;3;0.055;1;2;2;1;1;50;0;1.5;5.5;3.67;34;1.1;7.1;229;0.647;0;0.135
57;Jarvan IV;3;0.055;1;2;2;1;1;50;1;3.5;15.5;4.71;163;4.61;10.9;307;0.846;0.051;0.168
58;LeBlanc;3;0.055;1;2;1;1;1;50;5;3;3;2.67;254;7.85;12.7;391;0.615;0.385;0.228
59;Jhin;3;0.055;1;2;2;0;2;0;1.5;1.5;2.5;2.67;280.5;8.76;11.9;370;0.667;0.25;0.231
60;Kindred;3;0.055;2;1;1;1;0;100;6;1;6;12;232;7.76;12.9;431;0.75;0.375;0.225
61;Ashe;2;0.036;-;2;1;1;1;50;1.5;4;10.5;3;245;8.42;11;377;0.75;0.094;0.209
62;Janna;2;0.036;-;2;1;1;1;50;0.5;2;8.5;4.5;37;0.88;10.1;239;0.9;0.05;0.14
63;Kayn;2;0.036;-;2;1;1;1;50;4;3.5;4;2.29;200.5;6.72;11.6;388;0.571;0.286;0.217
64;Kennen;2;0.036;-;2;1;0;2;0;1.5;2.5;2;1.4;274.5;8.06;12.4;365;0.778;0.333;0.225
65;Ornn;2;0.036;-;2;1;0;2;0;0.5;2.5;4;1.8;241.5;6.28;11.7;305;0.75;0.083;0.19
66;Malphite;2;0.036;1;1;1;1;0;100;3;0;10;13;207;6.6;11.5;367;0.684;0.158;0.195
67;Varus;2;0.036;1;1;1;1;0;100;3;3;9;4;284;6.31;15.4;343;0.75;0.188;0.204
68;Draven;2;0.036;1;1;1;0;1;0;1;3;4;1.67;230;7.67;10.6;352;0.625;0.125;0.227
69;Cho'Gath;1;0.018;-;1;1;1;0;100;6;0;3;9;234;8.22;12.5;440;0.45;0.3;0.217
70;Neeko;1;0.018;-;1;1;1;0;100;0;5;5;1;29;0.64;9.8;218;0.313;0;0.13
71;Rumble;1;0.018;-;1;1;1;0;100;3;1;7;10;179;5.99;10;335;0.625;0.188;0.175
72;Sivir;1;0.018;-;1;1;1;0;100;6;2;8;7;556;9.86;26;460;0.875;0.375;0.253
73;Yasuo;1;0.018;-;1;1;1;0;100;3;2;12;7.5;305;9.72;13.6;433;0.789;0.158;0.23
74;Dr. Mundo;1;0.018;-;1;1;0;1;0;3;2;0;1.5;180;6.5;9.3;336;0.5;0.5;0.22
75;Ivern;1;0.018;-;1;1;0;1;0;0;1;10;10;269;5.6;13.9;289;0.667;0;0.168
76;Maokai;1;0.018;-;1;1;0;1;0;0;3;2;0.67;48;1.55;6.6;212;0.25;0;0.125
77;Quinn;1;0.018;-;1;1;0;1;0;4;1;5;9;231;7.61;11.6;382;0.9;0.4;0.229
78;Rengar;1;0.018;-;1;1;0;1;0;0;4;2;0.5;156;5.13;8.1;267;0.5;0;0.184
79;Malzahar;1;0.018;1;-;-;0;0;;;;;;;;;;;;
