,champion,games,prescence,bans,picks,byteam,wins,losses,winrate,kills,deaths,assists,kda,cs,cspm,gold,gpm,killpart,killshare,goldshare
41,Shen,7,0.11900000000000001,3,4,3,4,0,100,3.25,1.5,7.75,7.33,250.0,7.53,13,391.0,0.667,0.19699999999999998,0.20800000000000002
42,Ryze,7,0.11900000000000001,3,4,3,2,2,50,3.25,3.5,6.5,2.79,308.0,9.6,14,438.0,0.6,0.2,0.239
43,Viktor,6,0.102,1,5,4,3,2,60,4.0,3.0,3.8,2.6,302.8,9.22,13.5,410.0,0.629,0.32299999999999995,0.22699999999999998
44,Blitzcrank,6,0.102,1,5,4,2,3,40,0.4,2.6,5.8,2.38,31.6,1.01,6.9,220.0,0.62,0.04,0.129
45,Lulu,6,0.102,2,4,3,2,2,50,0.75,1.25,9.25,8,103.25,3.02,9,265.0,0.87,0.065,0.152
46,Lucian,6,0.102,3,3,3,0,3,0,2.67,4.67,2.33,1.07,240.67,8.09,10.8,361.0,0.652,0.348,0.233
47,Jarvan IV,5,0.085,2,3,3,2,1,66.7,1.33,3.33,13.33,4.4,181.33,5.29,11.1,324.0,0.8,0.073,0.171
48,Sylas,5,0.085,2,3,3,2,1,66.7,2.67,2.67,6.33,3.38,249.0,7.97,11.9,381.0,0.675,0.2,0.20600000000000002
49,Jinx,5,0.085,2,3,2,0,3,0,1.67,2.67,1.67,1.25,309.67,9.84,12.3,391.0,0.769,0.385,0.256
50,LeBlanc,4,0.068,1,3,2,2,1,66.7,4.67,2.33,3,3.29,241.33,8.13,11.9,402.0,0.575,0.35,0.22699999999999998
51,Sion,4,0.068,1,3,3,0,3,0,1.33,3.33,4,1.6,241.33,6.49,11.4,306.0,0.5710000000000001,0.14300000000000002,0.19399999999999998
52,Karma,4,0.068,2,2,2,2,0,100,0.5,0.5,7.5,16,222.5,7.02,10.6,333.0,0.727,0.045,0.17600000000000002
53,Rek'Sai,4,0.068,2,2,1,2,0,100,7.0,4.0,10.5,4.38,230.0,6.26,15,408.0,0.6859999999999999,0.275,0.204
54,Sett,4,0.068,2,2,2,1,1,50,1.0,5.0,13,2.8,131.5,4.09,9.7,302.0,0.875,0.063,0.163
55,Nocturne,4,0.068,3,1,1,0,1,0,5.0,4.0,10,3.75,284.0,5.7,16.4,330.0,0.652,0.217,0.19399999999999998
56,Corki,3,0.051,-,3,2,0,3,0,1.33,4.0,1.33,0.67,285.33,8.58,12.4,372.0,0.32,0.16,0.233
57,Jax,3,0.051,1,2,1,2,0,100,4.5,1.5,6,7,236.5,7.97,12.8,432.0,0.512,0.22,0.21100000000000002
58,Bard,3,0.051,1,2,2,1,1,50,0.0,1.5,5.5,3.67,34.0,1.1,7.1,229.0,0.647,0.0,0.135
59,Jhin,3,0.051,1,2,2,0,2,0,1.5,1.5,2.5,2.67,280.5,8.76,11.9,370.0,0.667,0.25,0.231
60,Kindred,3,0.051,2,1,1,1,0,100,6.0,1.0,6,12,232.0,7.76,12.9,431.0,0.75,0.375,0.225
61,Ashe,2,0.034,-,2,1,1,1,50,1.5,4.0,10.5,3,245.0,8.42,11,377.0,0.75,0.094,0.209
62,Dr. Mundo,2,0.034,-,2,2,1,1,50,1.5,2.0,3,2.25,214.0,6.61,11,339.0,0.5,0.16699999999999998,0.198
63,Janna,2,0.034,-,2,1,1,1,50,0.5,2.0,8.5,4.5,37.0,0.88,10.1,239.0,0.9,0.05,0.14
64,Kayn,2,0.034,-,2,1,1,1,50,4.0,3.5,4,2.29,200.5,6.72,11.6,388.0,0.5710000000000001,0.28600000000000003,0.217
65,Sivir,2,0.034,-,2,1,1,1,50,6.5,3.0,5.5,4,500.0,10.33,22.1,457.0,0.774,0.419,0.259
