,champion,games,prescence,bans,picks,byteam,wins,losses,winrate,kills,deaths,assists,kda,cs,cspm,gold,gpm,killpart,killshare,goldshare
37,Nocturne,10,0.127,5,5,2,3,2,60,2.4,3.0,7.2,3.2,191.8,6.17,10.6,342.0,0.593,0.14800000000000002,0.19
38,Aatrox,10,0.127,5,5,4,2,3,40,3.4,2.4,7,4.33,261.8,8.37,13.2,422.0,0.591,0.193,0.22699999999999998
39,Yone,10,0.127,8,2,2,1,1,50,4.5,3.5,4.5,2.57,215.5,8.59,10.7,427.0,0.563,0.281,0.23600000000000002
40,Kennen,8,0.10099999999999999,4,4,3,1,3,25,1.75,3.0,4.5,2.08,227.25,7.91,10.4,363.0,0.46299999999999997,0.13,0.201
41,Rakan,7,0.08900000000000001,2,5,4,2,3,40,0.4,2.8,9,3.36,33.6,1.1,6.8,224.0,0.7120000000000001,0.03,0.13
42,Kayn,6,0.076,1,5,2,2,3,40,1.8,2.8,6.2,2.86,192.0,6.34,10.4,342.0,0.58,0.13,0.192
43,Vladimir,6,0.076,3,3,1,2,1,66.7,2.67,2.33,4.33,3,229.0,7.94,10.5,363.0,0.512,0.195,0.203
44,Miss Fortune,6,0.076,3,3,3,1,2,33.3,5.33,5.33,1.67,1.31,243.0,8.14,12.2,408.0,0.5379999999999999,0.41,0.231
45,Gangplank,5,0.063,-,5,3,3,2,60,1.8,3.0,5.6,2.47,212.2,7.85,10.9,404.0,0.5,0.122,0.214
46,Senna,5,0.063,-,5,4,2,3,40,2.2,3.0,7.8,3.33,201.0,6.76,10.9,366.0,0.685,0.151,0.205
47,Ornn,5,0.063,1,4,3,2,2,50,1.5,2.75,7.5,3.27,203.25,6.95,9.9,340.0,0.679,0.113,0.195
48,Sion,5,0.063,1,4,3,1,3,25,2.25,4.75,5.25,1.58,203.0,6.71,10.6,349.0,0.5770000000000001,0.17300000000000001,0.20199999999999999
49,Ekko,5,0.063,2,3,3,0,3,0,4.0,4.67,4,1.71,263.0,7.92,13.4,405.0,0.727,0.364,0.22899999999999998
50,Kalista,5,0.063,3,2,2,1,1,50,3.0,4.0,10,3.25,254.0,8.58,12.7,430.0,0.813,0.188,0.23800000000000002
51,Dr. Mundo,4,0.051,-,4,2,2,2,50,2.75,2.0,5,3.88,165.0,5.79,9.6,338.0,0.62,0.22,0.191
52,Jinx,4,0.051,-,4,3,2,2,50,3.5,3.25,4.25,2.38,289.5,9.49,13.3,437.0,0.508,0.23,0.23800000000000002
53,Ryze,4,0.051,-,4,3,2,2,50,5.25,3.75,6.25,3.07,257.5,8.81,12.6,431.0,0.73,0.33299999999999996,0.23399999999999999
54,Skarner,4,0.051,1,3,1,3,0,100,1.33,2.33,12.33,5.86,191.33,5.48,11.8,337.0,0.6609999999999999,0.065,0.17
55,Sylas,4,0.051,2,2,2,1,1,50,3.0,4.0,4.5,1.88,264.0,7.49,12.5,355.0,0.5770000000000001,0.231,0.2
56,Vayne,4,0.051,2,2,2,1,1,50,6.0,2.5,5.5,4.6,225.0,8.86,11.5,454.0,0.5479999999999999,0.28600000000000003,0.23199999999999998
57,Braum,3,0.038,1,2,2,1,1,50,1.5,3.0,10.5,4,34.5,1.05,8.2,249.0,0.615,0.077,0.133
58,Shen,3,0.038,1,2,2,1,1,50,0.5,4.0,13,3.38,39.0,1.17,7.8,233.0,0.8440000000000001,0.031,0.131
59,Karthus,3,0.038,1,2,2,0,2,0,3.5,5.0,3,1.3,230.5,6.37,12.3,340.0,0.722,0.389,0.20600000000000002
60,Mordekaiser,3,0.038,2,1,1,0,1,0,1.0,5.0,3,0.8,247.0,7.82,10.9,344.0,0.4,0.1,0.203
61,Anivia,3,0.038,3,-,-,0,0,,,,,,,,,,,,
62,Jhin,2,0.025,-,2,1,1,1,50,3.0,2.0,2.5,2.75,252.5,8.66,11.5,395.0,0.579,0.316,0.22
63,Rumble,2,0.025,-,2,2,1,1,50,2.5,1.0,6.5,9,222.0,7.38,10.8,358.0,0.6,0.16699999999999998,0.187
64,Jax,2,0.025,1,1,1,1,0,100,2.0,2.0,3,2.5,281.0,8.94,13.7,435.0,0.33299999999999996,0.133,0.22
65,Yasuo,2,0.025,1,1,1,1,0,100,3.0,5.0,11,2.8,294.0,8.26,14.6,411.0,0.636,0.136,0.204
66,Volibear,2,0.025,1,1,1,0,1,0,1.0,5.0,5,1.2,307.0,7.67,14,349.0,0.429,0.071,0.19899999999999998
67,Cassiopeia,1,0.013000000000000001,-,1,1,1,0,100,5.0,1.0,7,12,288.0,9.04,14.6,457.0,0.75,0.313,0.239
