,champion,games,prescence,bans,picks,byteam,wins,losses,winrate,kills,deaths,assists,kda,cs,cspm,gold,gpm,killpart,killshare,goldshare
44,Tahm Kench,5,0.09300000000000001,-,5,3,1,4,20,0.4,3.2,3.8,1.31,119.4,4.49,7.1,265.0,0.5379999999999999,0.051,0.162
45,Skarner,4,0.07400000000000001,1,3,2,2,1,66.7,1.67,2.33,5,2.86,125.67,5.19,7.6,315.0,0.69,0.172,0.17
46,Jinx,4,0.07400000000000001,1,3,3,1,2,33.3,2.0,0.67,6.33,12.5,255.0,8.99,10.8,379.0,0.6759999999999999,0.162,0.22699999999999998
47,Jhin,3,0.055999999999999994,-,3,2,1,2,33.3,1.33,2.0,5.67,3.5,311.33,8.78,13.3,376.0,0.583,0.111,0.22
48,Sylas,3,0.055999999999999994,2,1,1,1,0,100,4.0,0.0,3,7,189.0,8.51,9,406.0,0.583,0.33299999999999996,0.217
49,Fiora,2,0.037000000000000005,-,2,2,1,1,50,2.0,2.5,1.5,1.4,284.0,8.74,12.3,378.0,0.292,0.16699999999999998,0.21100000000000002
50,Kennen,2,0.037000000000000005,-,2,2,1,1,50,2.5,2.5,1,1.4,210.5,7.44,10.2,361.0,0.35,0.25,0.20600000000000002
51,Vayne,2,0.037000000000000005,-,2,2,1,1,50,1.5,2.0,6.5,4,261.5,8.86,11.9,402.0,0.64,0.12,0.222
52,Rumble,2,0.037000000000000005,1,1,1,0,1,0,0.0,2.0,2,1,179.0,7.17,7.3,291.0,0.33299999999999996,0.0,0.198
53,Cassiopeia,2,0.037000000000000005,2,-,-,0,0,,,,,,,,,,,,
54,Miss Fortune,1,0.019,-,1,1,1,0,100,11.0,0.0,6,17,222.0,8.51,13.7,524.0,0.895,0.579,0.253
55,Anivia,1,0.019,-,1,1,0,1,0,2.0,2.0,0,1,182.0,6.87,9,339.0,0.25,0.25,0.21600000000000003
56,Braum,1,0.019,-,1,1,0,1,0,0.0,0.0,2,2,33.0,1.26,5,190.0,0.5,0.0,0.133
57,Corki,1,0.019,-,1,1,0,1,0,0.0,2.0,1,0.5,238.0,9.54,8.6,344.0,0.5,0.0,0.237
58,Janna,1,0.019,-,1,1,0,1,0,1.0,4.0,11,3,16.0,0.4,9,223.0,0.545,0.045,0.132
59,Karthus,1,0.019,-,1,1,0,1,0,3.0,3.0,2,1.67,240.0,6.67,11.8,329.0,0.7140000000000001,0.429,0.19899999999999998
60,Kled,1,0.019,-,1,1,0,1,0,4.0,5.0,1,1,143.0,6.57,7.9,365.0,0.833,0.667,0.24
61,Qiyana,1,0.019,-,1,1,0,1,0,1.0,7.0,1,0.29,197.0,5.79,9.6,280.0,0.5,0.25,0.184
62,Rek'Sai,1,0.019,-,1,1,0,1,0,2.0,3.0,0,0.67,148.0,5.41,8.4,307.0,0.667,0.667,0.21
63,Trundle,1,0.019,-,1,1,0,1,0,0.0,4.0,1,0.25,138.0,4.85,7.6,266.0,0.33299999999999996,0.0,0.17800000000000002
64,Wukong,1,0.019,-,1,1,0,1,0,0.0,5.0,1,0.2,148.0,6.06,6.6,271.0,0.33299999999999996,0.0,0.18899999999999997
65,Ezreal,1,0.019,1,-,-,0,0,,,,,,,,,,,,
66,Quinn,1,0.019,1,-,-,0,0,,,,,,,,,,,,
