,champion,games,prescence,bans,picks,byteam,wins,losses,winrate,kills,deaths,assists,kda,cs,cspm,gold,gpm,killpart,killshare,goldshare
53,Kassadin,2,0.063,1,1,1,1,0,100,5.0,1.0,7,12,258.0,9.05,12.6,442.0,0.5710000000000001,0.23800000000000002,0.223
54,Blitzcrank,2,0.063,1,1,1,0,1,0,0.0,4.0,6,1.5,44.0,1.31,6.8,202.0,0.6,0.0,0.127
55,Sivir,2,0.063,1,1,1,0,1,0,2.0,1.0,2,4,494.0,10.77,21.9,478.0,0.667,0.33299999999999996,0.295
56,Tahm Kench,2,0.063,1,1,1,0,1,0,1.0,6.0,8,1.5,182.0,3.47,14.2,271.0,0.6920000000000001,0.077,0.163
57,Karma,2,0.063,2,-,-,0,0,,,,,,,,,,,,
58,Braum,1,0.031,-,1,1,1,0,100,0.0,2.0,23,11.5,30.0,0.98,8.1,263.0,0.742,0.0,0.126
59,Darius,1,0.031,-,1,1,1,0,100,6.0,0.0,1,7,246.0,8.93,11.7,424.0,0.636,0.545,0.223
60,Jax,1,0.031,-,1,1,1,0,100,4.0,2.0,6,5,228.0,6.43,13.2,371.0,0.588,0.235,0.203
61,Maokai,1,0.031,-,1,1,1,0,100,2.0,4.0,16,4.5,50.0,1.38,10.2,281.0,0.72,0.08,0.147
62,Rakan,1,0.031,-,1,1,1,0,100,0.0,1.0,11,11,36.0,1.43,6.3,252.0,0.917,0.0,0.129
63,Taric,1,0.031,-,1,1,1,0,100,0.0,1.0,10,10,52.0,1.13,9.7,211.0,1.0,0.0,0.122
64,Ashe,1,0.031,-,1,1,0,1,0,6.0,5.0,11,3.4,248.0,6.32,15.4,392.0,0.9440000000000001,0.33299999999999996,0.22899999999999998
65,Karthus,1,0.031,-,1,1,0,1,0,0.0,6.0,7,1.17,219.0,6.5,10.4,309.0,0.875,0.0,0.19
66,Kayn,1,0.031,-,1,1,0,1,0,0.0,2.0,2,1,216.0,5.97,11,304.0,0.667,0.0,0.196
67,Kog'Maw,1,0.031,-,1,1,0,1,0,1.0,4.0,0,0.25,252.0,8.66,10.1,346.0,0.2,0.2,0.235
68,Lulu,1,0.031,-,1,1,0,1,0,1.0,7.0,6,1,39.0,1.27,7.5,243.0,0.7,0.1,0.155
69,Mordekaiser,1,0.031,-,1,1,0,1,0,1.0,1.0,0,1,226.0,8.2,9.4,340.0,0.33299999999999996,0.33299999999999996,0.218
70,Yasuo,1,0.031,-,1,1,0,1,0,1.0,5.0,5,1.2,235.0,7.97,9.9,336.0,0.857,0.14300000000000002,0.204
71,Akali,1,0.031,1,-,-,0,0,,,,,,,,,,,,
72,Bard,1,0.031,1,-,-,0,0,,,,,,,,,,,,
73,Irelia,1,0.031,1,-,-,0,0,,,,,,,,,,,,
74,Jinx,1,0.031,1,-,-,0,0,,,,,,,,,,,,
75,Kennen,1,0.031,1,-,-,0,0,,,,,,,,,,,,
76,Rek'Sai,1,0.031,1,-,-,0,0,,,,,,,,,,,,
77,Sylas,1,0.031,1,-,-,0,0,,,,,,,,,,,,
78,Urgot,1,0.031,1,-,-,0,0,,,,,,,,,,,,
