,champion,games,prescence,bans,picks,byteam,wins,losses,winrate,kills,deaths,assists,kda,cs,cspm,gold,gpm,killpart,killshare,goldshare
42,Senna,16,0.10099999999999999,6,10,6,6,4,60,4.4,2.0,9.9,7.15,124.6,3.74,12.1,361.0,0.841,0.259,0.196
43,Kindred,15,0.094,6,9,3,6,3,66.7,2.44,3.22,6.22,2.69,240.11,7.19,12.4,372.0,0.655,0.185,0.20600000000000002
44,Volibear,15,0.094,6,9,3,4,5,44.4,1.44,2.56,4,2.13,257.44,7.43,12.2,351.0,0.653,0.17300000000000001,0.20199999999999999
45,Quinn,14,0.08800000000000001,9,5,5,3,2,60,3.6,3.8,3.6,1.89,308.2,8.76,14.5,411.0,0.667,0.33299999999999996,0.23199999999999998
46,Jhin,13,0.08199999999999999,-,13,8,3,10,23.1,3.23,2.38,3.15,2.68,309.15,9.32,13.8,417.0,0.601,0.304,0.239
47,Maokai,12,0.075,8,4,3,4,0,100,1.25,2.5,9.25,4.2,75.0,2.6,8.2,286.0,0.568,0.068,0.139
48,Jarvan IV,11,0.069,4,7,4,4,3,57.1,1.14,3.71,8.71,2.65,70.14,1.96,9.2,256.0,0.711,0.08199999999999999,0.13699999999999998
49,Ezreal,10,0.063,4,6,5,5,1,83.3,4.17,1.67,3,4.3,298.5,9.61,13.8,443.0,0.5379999999999999,0.313,0.239
50,Kayn,10,0.063,4,6,2,3,3,50,3.33,4.83,4.83,1.69,267.5,7.24,13.6,369.0,0.653,0.267,0.205
51,Kennen,10,0.063,6,4,4,2,2,50,1.0,3.0,6.25,2.42,255.0,7.74,11.7,354.0,0.569,0.078,0.19899999999999998
52,Sylas,10,0.063,6,4,3,2,2,50,2.5,3.5,6.25,2.5,245.75,7.52,12.1,371.0,0.778,0.222,0.218
53,Jinx,9,0.057,1,8,4,3,5,37.5,4.5,3.0,5.5,3.33,369.5,9.69,16.4,430.0,0.762,0.34299999999999997,0.247
54,Vayne,8,0.05,-,8,4,4,4,50,3.88,2.38,3.13,2.95,289.13,9.14,13.5,428.0,0.609,0.337,0.237
55,Skarner,8,0.05,4,4,3,1,3,25,0.5,4.25,5.5,1.41,143.0,4.64,8.6,278.0,0.649,0.054000000000000006,0.16399999999999998
56,Lulu,7,0.044000000000000004,4,3,2,1,2,33.3,0.0,3.0,6,2,76.33,2.41,7.7,242.0,0.72,0.0,0.142
57,Dr. Mundo,6,0.038,2,4,1,1,3,25,4.0,2.25,4.75,3.89,253.0,6.79,13.5,363.0,0.778,0.35600000000000004,0.21
58,Shen,5,0.031,1,4,3,1,3,25,1.75,3.5,6,2.21,76.25,2.42,8,253.0,0.6890000000000001,0.156,0.14400000000000002
59,Tahm Kench,5,0.031,1,4,4,1,3,25,1.0,3.75,7,2.13,120.0,3.74,8.6,269.0,0.593,0.07400000000000001,0.156
60,Rumble,5,0.031,3,2,2,1,1,50,2.0,3.5,5,2,261.5,7.81,12.4,369.0,0.5,0.14300000000000002,0.207
61,Miss Fortune,4,0.025,1,3,3,1,2,33.3,2.33,2.67,2.67,1.88,314.0,9.14,13.5,393.0,0.429,0.2,0.226
62,Mordekaiser,3,0.019,-,3,2,1,2,33.3,2.0,4.0,2,1,212.67,7.38,9.9,343.0,0.414,0.207,0.201
63,Pyke,3,0.019,-,3,2,1,2,33.3,1.67,3.0,4,1.89,47.33,1.4,8.4,248.0,0.68,0.2,0.146
64,Wukong,3,0.019,-,3,3,1,2,33.3,2.0,5.0,8,2,265.67,6.77,13.7,350.0,0.667,0.133,0.19399999999999998
65,Cassiopeia,3,0.019,-,3,2,0,3,0,1.33,5.33,3,0.81,237.0,7.95,10.2,340.0,0.65,0.2,0.215
66,Karthus,3,0.019,1,2,2,1,1,50,3.0,4.0,4,1.75,263.0,6.96,13.8,366.0,0.636,0.273,0.2
67,Malphite,3,0.019,1,2,2,1,1,50,1.0,3.5,5,1.71,218.0,6.84,10,313.0,0.545,0.091,0.17300000000000001
68,Nocturne,3,0.019,2,1,1,0,1,0,3.0,6.0,5,1.33,256.0,7.41,11.6,337.0,0.889,0.33299999999999996,0.20800000000000002
69,Ekko,3,0.019,3,-,-,0,0,,,,,,,,,,,,
70,Neeko,2,0.013000000000000001,-,2,1,2,0,100,3.0,2.5,8.5,4.6,27.5,0.8,9.5,277.0,0.639,0.16699999999999998,0.139
71,Braum,2,0.013000000000000001,-,2,2,1,1,50,0.0,3.0,6,2,41.0,1.2,7.4,217.0,0.706,0.0,0.125
72,Ryze,2,0.013000000000000001,-,2,2,1,1,50,3.5,3.0,6,3.17,309.5,10.43,13.8,465.0,0.7040000000000001,0.259,0.248
73,Lee Sin,2,0.013000000000000001,-,2,2,0,2,0,2.0,1.5,3.5,3.67,154.5,5.78,8.4,315.0,0.611,0.222,0.196
74,Fizz,1,0.006,-,1,1,1,0,100,4.0,3.0,6,3.33,251.0,7.05,14.1,397.0,0.47600000000000003,0.19,0.203
75,Heimerdinger,1,0.006,-,1,1,1,0,100,5.0,7.0,8,1.86,211.0,6.08,13.5,388.0,0.542,0.20800000000000002,0.191
76,Janna,1,0.006,-,1,1,1,0,100,1.0,1.0,7,8,15.0,0.49,7.7,251.0,0.8,0.1,0.142
77,Varus,1,0.006,-,1,1,1,0,100,4.0,1.0,10,14,304.0,8.42,14.3,395.0,0.737,0.21100000000000002,0.214
78,Ashe,1,0.006,-,1,1,0,1,0,1.0,4.0,7,2,351.0,9.26,14.9,392.0,0.889,0.111,0.233
79,Blitzcrank,1,0.006,-,1,1,0,1,0,2.0,9.0,9,1.22,48.0,0.94,11.1,218.0,0.647,0.11800000000000001,0.125
80,Corki,1,0.006,-,1,1,0,1,0,2.0,4.0,8,2.5,415.0,10.29,17.7,438.0,0.769,0.154,0.252
81,Karma,1,0.006,-,1,1,0,1,0,1.0,3.0,3,1.33,239.0,7.63,9.9,316.0,0.8,0.2,0.19699999999999998
82,Kayle,1,0.006,-,1,1,0,1,0,3.0,4.0,2,1.25,271.0,8.09,13.1,390.0,0.625,0.375,0.233
83,Kled,1,0.006,-,1,1,0,1,0,0.0,3.0,4,1.33,202.0,7.49,8.3,308.0,1.0,0.0,0.19699999999999998
84,Kog'Maw,1,0.006,-,1,1,0,1,0,2.0,3.0,2,1.33,313.0,9.91,12.8,405.0,0.5,0.25,0.242
85,Nasus,1,0.006,-,1,1,0,1,0,3.0,6.0,2,0.83,288.0,7.98,12.8,355.0,0.41700000000000004,0.25,0.213
86,Rek'Sai,1,0.006,-,1,1,0,1,0,1.0,2.0,0,0.5,168.0,4.99,9.1,271.0,0.16699999999999998,0.16699999999999998,0.168
87,Sivir,1,0.006,-,1,1,0,1,0,2.0,3.0,3,1.67,276.0,9.2,12.4,413.0,0.625,0.25,0.24600000000000002
88,Trundle,1,0.006,-,1,1,0,1,0,4.0,7.0,4,1.14,147.0,4.81,10.1,332.0,0.667,0.33299999999999996,0.204
89,Vladimir,1,0.006,-,1,1,0,1,0,0.0,2.0,0,0,316.0,9.67,11.3,344.0,0.0,0.0,0.217
90,Yuumi,1,0.006,-,1,1,0,1,0,0.0,3.0,8,2.67,6.0,0.21,5.7,198.0,1.0,0.0,0.121
91,Kassadin,1,0.006,1,-,-,0,0,,,,,,,,,,,,
92,Morgana,1,0.006,1,-,-,0,0,,,,,,,,,,,,
