,champion,games,prescence,bans,picks,byteam,wins,losses,winrate,kills,deaths,assists,kda,cs,cspm,gold,gpm,killpart,killshare,goldshare
65,Lee Sin,1,0.021,-,1,1,1,0,100,3.0,5.0,14,3.4,203.0,5.25,13.2,341.0,0.586,0.10300000000000001,0.17800000000000002
66,Poppy,1,0.021,-,1,1,1,0,100,1.0,2.0,9,5,39.0,1.16,8,237.0,0.667,0.067,0.124
67,Riven,1,0.021,-,1,1,1,0,100,6.0,5.0,14,4,361.0,7.57,20.1,421.0,0.833,0.25,0.228
68,Neeko,1,0.021,-,1,1,0,1,0,3.0,6.0,10,2.17,279.0,5.67,15.8,320.0,0.765,0.17600000000000002,0.184
69,Sivir,1,0.021,-,1,1,0,1,0,0.0,4.0,2,0.5,281.0,9.51,10.3,350.0,0.33299999999999996,0.0,0.235
70,Xin Zhao,1,0.021,-,1,1,0,1,0,1.0,5.0,0,0.2,170.0,5.98,8.2,290.0,1.0,1.0,0.214
71,Zilean,1,0.021,-,1,1,0,1,0,3.0,2.0,2,2.5,275.0,8.15,11.5,340.0,1.0,0.6,0.23199999999999998
72,Amumu,1,0.021,1,-,-,0,0,,,,,,,,,,,,
73,Karma,1,0.021,1,-,-,0,0,,,,,,,,,,,,
74,Sejuani,1,0.021,1,-,-,0,0,,,,,,,,,,,,
