,champion,games,prescence,bans,picks,byteam,wins,losses,winrate,kills,deaths,assists,kda,cs,cspm,gold,gpm,killpart,killshare,goldshare
57,Ekko,2,0.07400000000000001,1,1,1,1,0,100,4.0,1.0,6,10,256.0,8.19,13.4,429.0,0.625,0.25,0.23
58,Volibear,2,0.07400000000000001,1,1,1,1,0,100,0.0,1.0,8,8,206.0,6.56,9.6,306.0,0.615,0.0,0.17800000000000002
59,Anivia,2,0.07400000000000001,1,1,1,0,1,0,1.0,6.0,5,1,306.0,7.3,13.5,321.0,0.462,0.077,0.19399999999999998
60,Malphite,2,0.07400000000000001,1,1,1,0,1,0,1.0,1.0,1,2,108.0,5.5,5.6,286.0,0.667,0.33299999999999996,0.196
61,Nunu,2,0.07400000000000001,1,1,1,0,1,0,1.0,2.0,5,3,132.0,4.22,7.8,251.0,0.75,0.125,0.163
62,Shen,2,0.07400000000000001,1,1,1,0,1,0,2.0,2.0,8,5,215.0,6.95,10.4,335.0,0.909,0.182,0.20600000000000002
63,Shyvana,1,0.037000000000000005,-,1,1,1,0,100,7.0,3.0,9,5.33,285.0,6.56,16.1,371.0,0.762,0.33299999999999996,0.201
64,Soraka,1,0.037000000000000005,-,1,1,1,0,100,1.0,0.0,11,12,23.0,0.65,8.8,247.0,0.857,0.071,0.141
65,Taric,1,0.037000000000000005,-,1,1,1,0,100,0.0,1.0,12,12,42.0,1.55,6.8,251.0,0.75,0.0,0.136
66,Bard,1,0.037000000000000005,-,1,1,0,1,0,1.0,4.0,4,1.25,32.0,1.02,6.9,218.0,0.833,0.16699999999999998,0.138
67,Cassiopeia,1,0.037000000000000005,-,1,1,0,1,0,2.0,5.0,3,1,248.0,7.91,11.1,353.0,0.7140000000000001,0.28600000000000003,0.217
68,Cho'Gath,1,0.037000000000000005,-,1,1,0,1,0,1.0,3.0,1,0.67,192.0,6.11,9.1,291.0,0.33299999999999996,0.16699999999999998,0.184
69,Lee Sin,1,0.037000000000000005,-,1,1,0,1,0,3.0,2.0,3,3,205.0,5.75,10.7,299.0,1.0,0.5,0.193
70,Talon,1,0.037000000000000005,-,1,1,0,1,0,3.0,3.0,0,1,183.0,6.98,8.5,324.0,0.6,0.6,0.22399999999999998
71,Wukong,1,0.037000000000000005,-,1,1,0,1,0,2.0,2.0,1,1.5,238.0,7.87,10.1,333.0,0.5,0.33299999999999996,0.20800000000000002
72,Janna,1,0.037000000000000005,1,-,-,0,0,,,,,,,,,,,,
73,Kha'Zix,1,0.037000000000000005,1,-,-,0,0,,,,,,,,,,,,
74,Lissandra,1,0.037000000000000005,1,-,-,0,0,,,,,,,,,,,,
75,Miss Fortune,1,0.037000000000000005,1,-,-,0,0,,,,,,,,,,,,
76,Mordekaiser,1,0.037000000000000005,1,-,-,0,0,,,,,,,,,,,,
77,Nidalee,1,0.037000000000000005,1,-,-,0,0,,,,,,,,,,,,
78,Qiyana,1,0.037000000000000005,1,-,-,0,0,,,,,,,,,,,,
79,Rek'Sai,1,0.037000000000000005,1,-,-,0,0,,,,,,,,,,,,
80,Zed,1,0.037000000000000005,1,-,-,0,0,,,,,,,,,,,,
