,champion,games,prescence,bans,picks,byteam,wins,losses,winrate,kills,deaths,assists,kda,cs,cspm,gold,gpm,killpart,killshare,goldshare
42,Gangplank,11,0.138,5,6,5,1,5,16.7,2.33,3.67,6.5,2.41,289.0,8.27,14.8,422.0,0.6709999999999999,0.177,0.23800000000000002
43,Sett,11,0.138,5,6,5,1,5,16.7,0.33,5.0,4.33,0.93,84.67,2.71,7.5,239.0,0.475,0.034,0.14400000000000002
44,Tristana,11,0.138,6,5,5,2,3,40,5.0,2.6,4,3.46,277.0,9.16,14.1,466.0,0.804,0.446,0.265
45,Sylas,9,0.113,3,6,5,2,4,33.3,4.0,3.5,5.5,2.71,241.67,7.51,12.1,377.0,0.687,0.289,0.217
46,Ezreal,9,0.113,6,3,3,1,2,33.3,3.0,2.67,3.67,2.5,243.67,8.64,11.4,405.0,0.741,0.33299999999999996,0.23399999999999999
47,Dr. Mundo,8,0.1,2,6,4,4,2,66.7,2.67,2.17,9.17,5.46,183.17,5.93,10.9,352.0,0.71,0.16,0.18899999999999997
48,Tahm Kench,6,0.075,1,5,5,4,1,80,0.4,2.0,7.2,3.8,127.0,4.13,8.5,278.0,0.507,0.027000000000000003,0.14800000000000002
49,Malphite,6,0.075,3,3,2,2,1,66.7,3.0,1.67,5.67,5.2,224.67,7.26,11.5,373.0,0.542,0.188,0.204
50,LeBlanc,6,0.075,4,2,2,0,2,0,0.5,2.0,3,1.75,214.0,7.47,8.9,311.0,0.5379999999999999,0.077,0.19699999999999998
51,Rakan,5,0.063,1,4,3,2,2,50,1.25,2.5,8.75,4,20.0,0.71,6.9,244.0,0.87,0.109,0.142
52,Skarner,5,0.063,1,4,3,2,2,50,1.75,4.25,9.25,2.59,161.0,4.98,10.2,315.0,0.71,0.113,0.17300000000000001
53,Rumble,5,0.063,2,3,3,1,2,33.3,3.0,2.67,4.33,2.75,233.0,7.44,11.7,374.0,0.537,0.22,0.21100000000000002
54,Wukong,5,0.063,2,3,3,1,2,33.3,2.0,3.67,4,1.64,221.67,6.41,11.5,331.0,0.529,0.17600000000000002,0.19399999999999998
55,Ekko,5,0.063,4,1,1,1,0,100,4.0,1.0,7,11,247.0,8.67,11.5,403.0,0.846,0.308,0.21600000000000003
56,Sivir,4,0.05,-,4,3,3,1,75,4.75,1.5,7.75,8.33,307.25,9.82,14.7,470.0,0.746,0.284,0.252
